stateFIPS,CongressionalDistrict,StateUpper,StateAbbreviation,Population2016,FracCDFromSLD,FracSLDFromCD
37,12,38,NC,210701.349,0.25,0.044
37,12,39,NC,54350.565,0.065,0.012
37,12,40,NC,216704.871,0.258,0.051
37,12,41,NC,150825.571,0.179,0.072
37,13,26,NC,33997.044,0.044,0.004
37,13,27,NC,154969.95,0.201,0.02
37,13,28,NC,158990.888,0.206,0.021
37,13,33,NC,164931.337,0.214,0.026
37,13,34,NC,143150.6,0.185,0.026
37,13,44,NC,115769.354,0.15,0.056
38,0,1,ND,22068.092,0.029,0.003
38,0,2,ND,20370.438,0.027,0.003
38,0,3,ND,16650.044,0.022,0.002
38,0,4,ND,18240.537,0.024,0.002
38,0,5,ND,16084.266,0.021,0.002
38,0,6,ND,15092,0.02,0.002
38,0,7,ND,16175.094,0.021,0.002
38,0,8,ND,15914.111,0.021,0.002
38,0,9,ND,14659,0.019,0.002
38,0,10,ND,13825.243,0.018,0.002
38,0,11,ND,17294.633,0.023,0.002
38,0,12,ND,13724.188,0.018,0.002
38,0,13,ND,17389.407,0.023,0.002
38,0,14,ND,14237.04,0.019,0.002
38,0,15,ND,13810,0.018,0.002
38,0,16,ND,17430.359,0.023,0.002
38,0,17,ND,14771.35,0.019,0.002
38,0,18,ND,14808.56,0.02,0.002
38,0,19,ND,14013.426,0.018,0.002
38,0,20,ND,14693.392,0.019,0.002
38,0,21,ND,17232.619,0.023,0.002
38,0,22,ND,17361.326,0.023,0.002
38,0,23,ND,14159.96,0.019,0.002
38,0,24,ND,14170.074,0.019,0.002
38,0,25,ND,14800.953,0.02,0.002
38,0,26,ND,13922.531,0.018,0.002
38,0,27,ND,16397.198,0.022,0.002
38,0,28,ND,13545.339,0.018,0.002
38,0,29,ND,13579.248,0.018,0.002
38,0,30,ND,17069.901,0.023,0.002
38,0,31,ND,16076.704,0.021,0.002
38,0,32,ND,16897.912,0.022,0.003
38,0,33,ND,15065.68,0.02,0.002
38,0,34,ND,16190.118,0.021,0.003
38,0,35,ND,17183.786,0.023,0.003
38,0,36,ND,17502.978,0.023,0.004
38,0,37,ND,18437.824,0.024,0.004
38,0,38,ND,16043.284,0.021,0.003
38,0,39,ND,20338.297,0.027,0.005
38,0,40,ND,16229.979,0.021,0.004
38,0,41,ND,17162.416,0.023,0.008
38,0,42,ND,14885.106,0.02,0.007
38,0,43,ND,14784.107,0.02,0.007
38,0,44,ND,16630.039,0.022,0.008
38,0,45,ND,17053.6,0.022,0.008
38,0,46,ND,17117.954,0.023,0.008
38,0,47,ND,16861.888,0.022,0.009
39,1,7,OH,247643.056,0.335,0.03
39,1,8,OH,295287.344,0.399,0.036
39,1,9,OH,196732.182,0.266,0.024
39,2,7,OH,93169.397,0.129,0.011
39,2,8,OH,54291.253,0.075,0.007
39,2,9,OH,149038.768,0.206,0.018
39,2,14,OH,314788.316,0.435,0.038
39,2,17,OH,112656.988,0.156,0.014
39,3,3,OH,270485.558,0.345,0.034
39,3,15,OH,341701.607,0.436,0.041
39,3,16,OH,74560.449,0.095,0.009
39,3,19,OH,96959.343,0.124,0.012
39,4,1,OH,29304.358,0.041,0.004
39,4,2,OH,11484.465,0.016,0.001
39,4,12,OH,255790.431,0.358,0.031
39,4,13,OH,147670.822,0.207,0.018
39,4,26,OH,269485.083,0.378,0.035
39,5,1,OH,305753.023,0.426,0.038
39,5,2,OH,263222.125,0.367,0.033
39,5,11,OH,105276.613,0.147,0.013
39,5,12,OH,21112.027,0.029,0.003
39,5,26,OH,22118,0.031,0.003
39,6,14,OH,49849.345,0.071,0.006
39,6,17,OH,109530.339,0.156,0.013
39,6,20,OH,66334.099,0.095,0.008
39,6,30,OH,294832.556,0.421,0.039
39,6,31,OH,25869.654,0.037,0.004
39,6,33,OH,153681.882,0.22,0.024
39,7,13,OH,111980.962,0.155,0.013
39,7,19,OH,60819.171,0.084,0.008
39,7,22,OH,176697.273,0.245,0.023
39,7,27,OH,17922.306,0.025,0.002
39,7,29,OH,221267.919,0.306,0.029
39,7,31,OH,133826.448,0.185,0.018
39,8,4,OH,358567.337,0.493,0.044
39,8,5,OH,164636.24,0.226,0.02
39,8,7,OH,18969.663,0.026,0.002
39,8,10,OH,134786,0.185,0.017
39,8,12,OH,49940.944,0.069,0.006
39,9,2,OH,84810.496,0.12,0.01
39,9,11,OH,241850.277,0.341,0.03
39,9,13,OH,105152.215,0.148,0.013
39,9,21,OH,15609.556,0.022,0.002
39,9,23,OH,225098.111,0.318,0.029
39,9,24,OH,36113.567,0.051,0.005
39,10,5,OH,187628.612,0.261,0.023
39,10,6,OH,343610.388,0.477,0.042
39,10,10,OH,164765,0.229,0.02
39,10,17,OH,24009.606,0.033,0.003
39,11,21,OH,331099.429,0.469,0.041
39,11,23,OH,32712.335,0.046,0.004
39,11,24,OH,34933.628,0.049,0.005
39,11,25,OH,207719.134,0.294,0.027
39,11,27,OH,22068.509,0.031,0.003
39,11,28,OH,77290.142,0.11,0.01
39,12,3,OH,62678.427,0.082,0.008
39,12,15,OH,19176.227,0.025,0.002
39,12,16,OH,118269.161,0.155,0.014
39,12,19,OH,218028.24,0.285,0.027
39,12,20,OH,58796.901,0.077,0.007
39,12,22,OH,72707.009,0.095,0.009
39,12,26,OH,42869.917,0.056,0.006
