StateFIPS,CongressionalDistrict,StateUpper,StateLower,StateAbbreviation,Population2016,CDInSLD,SLDInCD
49,2,2,26,UT,23930.96,0.031,1
49,2,2,28,UT,13039.291,0.017,0.155
49,2,3,25,UT,10319.913,0.014,0.877
49,2,4,28,UT,24687.855,0.032,1
49,2,5,22,UT,1001.933,0.001,0.017
49,2,5,30,UT,9838.55,0.013,0.391
49,2,5,38,UT,649.079,0.001,0.015
49,2,10,38,UT,70.789,0,0.001
49,2,12,21,UT,35730.647,0.047,0.062
49,2,12,22,UT,34373.937,0.045,0.225
49,2,12,30,UT,4850.664,0.006,0.012
49,2,12,38,UT,4007.733,0.005,0.033
49,2,12,68,UT,463.268,0.001,0.054
49,2,17,21,UT,5293.058,0.007,0.159
49,2,17,68,UT,23346.027,0.031,0.678
49,2,21,15,UT,4.467,0,0
49,2,22,17,UT,1294.391,0.002,0.031
49,2,22,18,UT,27926.013,0.037,0.929
49,2,23,18,UT,10902.369,0.014,1
49,2,23,19,UT,41211.669,0.054,0.411
49,2,23,20,UT,41160.296,0.054,1
49,2,23,23,UT,11334.916,0.015,0.015
49,2,23,24,UT,1707.643,0.002,0.171
49,2,24,58,UT,17014.135,0.022,0.236
49,2,24,68,UT,13639.618,0.018,0.064
49,2,24,70,UT,21390.647,0.028,0.128
49,2,24,73,UT,17024.045,0.022,0.337
49,2,28,62,UT,21639.427,0.028,0.579
49,2,28,68,UT,1377.616,0.002,0.017
49,2,28,71,UT,38128.436,0.05,0.149
49,2,28,72,UT,39826.929,0.052,0.192
49,2,28,73,UT,4797.771,0.006,0.02
49,2,29,62,UT,21097.6,0.028,0.443
49,2,29,71,UT,3941.297,0.005,0.186
49,2,29,74,UT,42745.149,0.056,0.735
49,2,29,75,UT,42803.161,0.056,0.138
49,3,4,36,UT,6449.401,0.008,0.127
49,3,4,37,UT,19121.68,0.025,0.642
49,3,4,40,UT,1443.002,0.002,0.1
49,3,4,46,UT,1690.218,0.002,1
49,3,7,59,UT,75.676,0,0.004
49,3,7,61,UT,10531.64,0.014,0.31
49,3,7,64,UT,11399.626,0.015,0.288
49,3,7,65,UT,10060.383,0.013,1
49,3,7,66,UT,39989.275,0.051,0.946
49,3,7,67,UT,26995.857,0.035,0.574
49,3,8,36,UT,167.715,0,0.001
49,3,8,45,UT,7922.897,0.01,1
49,3,8,46,UT,30626.489,0.039,0.708
