StateFIPS,PUMA,CongressionalDistrict,StateAbbreviaiton,PUMA2k,Population2016,PUMAWgt,CDWgt
27,500,8,MN,2700500,185831,1,0.28
27,600,7,MN,2700600,61689,0.57,0.093
27,600,8,MN,2700600,46582,0.43,0.07
27,700,7,MN,2700700,108966,1,0.164
27,800,6,MN,2700800,164845.689,0.843,0.236
27,800,7,MN,2700800,30798.311,0.157,0.046
27,900,6,MN,2700900,226078,0.707,0.324
27,900,8,MN,2700900,93773,0.293,0.141
27,1001,6,MN,2701001,207592.604,1,0.298
27,1002,3,MN,2701002,64284.232,0.465,0.091
27,1002,5,MN,2701002,56134.201,0.406,0.079
27,1002,6,MN,2701002,17945.963,0.13,0.026
27,1100,2,MN,2701100,143680,0.589,0.206
27,1100,3,MN,2701100,62070.99,0.254,0.088
27,1100,6,MN,2701100,38191.01,0.157,0.055
27,1201,2,MN,2701201,157334.5,1,0.225
27,1202,2,MN,2701202,114593.073,1,0.164
27,1203,2,MN,2701203,145558.427,1,0.208
27,1301,5,MN,2701301,139460.918,1,0.197
27,1302,5,MN,2701302,136640.728,1,0.193
27,1303,5,MN,2701303,133059.075,1,0.188
27,1401,3,MN,2701401,113842.853,0.945,0.16
27,1401,5,MN,2701401,5514.183,0.046,0.008
27,1401,6,MN,2701401,1106.901,0.009,0.002
27,1402,3,MN,2701402,225344.639,1,0.318
27,1403,5,MN,2701403,114345.504,1,0.162
27,1404,3,MN,2701404,118203.079,1,0.167
27,1405,3,MN,2701405,36980.105,0.312,0.052
27,1405,5,MN,2701405,81504.245,0.688,0.115
27,1406,3,MN,2701406,88651.507,0.701,0.125
27,1406,5,MN,2701406,37829.263,0.299,0.053
27,1501,4,MN,2701501,179359.966,1,0.255
27,1502,4,MN,2701502,123671.971,1,0.175
27,1601,4,MN,2701601,104646.577,1,0.148
27,1602,4,MN,2701602,129692.409,0.975,0.184
27,1602,5,MN,2701602,3263.197,0.025,0.005
27,1700,2,MN,2701700,44225.536,0.175,0.063
27,1700,4,MN,2701700,167338.083,0.661,0.237
27,1700,6,MN,2701700,41568.262,0.164,0.06
27,1800,7,MN,2701800,130934,1,0.197
27,1900,1,MN,2701900,25331,0.251,0.038
27,1900,7,MN,2701900,75528,0.749,0.114
27,2000,1,MN,2702000,118927,1,0.177
27,2100,1,MN,2702100,67591.14,0.483,0.101
27,2100,2,MN,2702100,72297.86,0.517,0.103
27,2200,1,MN,2702200,90765,0.81,0.135
27,2200,2,MN,2702200,21273,0.19,0.03
27,2300,1,MN,2702300,153102,1,0.228
27,2400,1,MN,2702400,126920,1,0.189
27,2500,1,MN,2702500,89760.387,0.78,0.133
27,2500,7,MN,2702500,25268.613,0.22,0.038
